profile,scenario_id,record_dir,collector_ver,boot_ms,image_kib,rootfs_kib,modules_built_count,modules_loaded_count,memtotal_kib,memfree_kib,memavailable_kib,slab_kib,sreclaimable_kib,sunreclaim_kib,kernelstack_kib,pagetables_kib,debugfs_ok,tracing_ok,function_graph_ok,trace_smoke_ok,perf_bin_ok,perf_smoke_ok,boot_ok,insmod_ok,snapshot_ok,trigger_ok,dmesg_warn,remarks,kernel_release,kernel_config_sha256,kernel_config_line_count,kernel_savedefconfig_sha256,kernel_savedefconfig_line_count,kernel_image_sha256,kernel_image_bytes,rootfs_img_sha256,rootfs_img_bytes,module_demo_sha256,module_demo_bytes,perf_manifest_present,category_manifest_present,config_diff_vs_baseline,image_hash_vs_baseline,rootfs_hash_vs_baseline,pass_status
baseline,day18-baseline-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day18/records/20260315-142352-day18-baseline-arm64-virt,v4,1010,27417,8128,2,1,1007600,961808,930016,8240,4000,4240,592,132,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,22533047ca91fb26a0c683a68a22bb75faeb72a31e1304fdbc23ea574bfca8c7,6070,,0,a329914c431548dea204bdbb208bda8af86a4603c3618ae2dcc019db3dc81f35,28074496,f76f31851811f56ae76f972af3b81f5c859bae9e01f8be652265e7b2a5438236,8322887,a1939e328108d056e36b5afe0afb2b8d8d3eacc9f340ae8846856e4be92527ec,105472,yes,yes,self,self,self,PASS
round2b_legacy,day18-round2b_legacy-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day18/records/20260315-142411-day18-round2b_legacy-arm64-virt,v4,2020,27417,8128,2,1,1007600,961808,930008,8212,3980,4232,592,108,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,22533047ca91fb26a0c683a68a22bb75faeb72a31e1304fdbc23ea574bfca8c7,6070,,0,a329914c431548dea204bdbb208bda8af86a4603c3618ae2dcc019db3dc81f35,28074496,fe20ad375283913a2834b28a996b102916c4500180df510c90e895d5bbc74e45,8322887,a1939e328108d056e36b5afe0afb2b8d8d3eacc9f340ae8846856e4be92527ec,105472,yes,yes,changed_config_lines=0 sha_equal=yes,same,different,PASS
classified,day18-classified-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day18/records/20260315-142432-day18-classified-arm64-virt,v4,2054,27417,8128,2,1,1007600,961808,930016,8236,4000,4236,600,136,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,22533047ca91fb26a0c683a68a22bb75faeb72a31e1304fdbc23ea574bfca8c7,6070,,0,a329914c431548dea204bdbb208bda8af86a4603c3618ae2dcc019db3dc81f35,28074496,54c1749a7d27310e7ad121291cdc38ff8ea0a80a8a08967c3fab77cb96b1fed7,8322940,a1939e328108d056e36b5afe0afb2b8d8d3eacc9f340ae8846856e4be92527ec,105472,yes,yes,changed_config_lines=0 sha_equal=yes,same,different,PASS
