profile,scenario_id,record_dir,collector_ver,boot_ms,image_kib,rootfs_kib,modules_built_count,modules_loaded_count,memtotal_kib,memfree_kib,memavailable_kib,slab_kib,sreclaimable_kib,sunreclaim_kib,kernelstack_kib,pagetables_kib,debugfs_ok,tracing_ok,function_graph_ok,trace_smoke_ok,perf_bin_ok,perf_smoke_ok,boot_ok,insmod_ok,snapshot_ok,trigger_ok,dmesg_warn,remarks,kernel_release,kernel_config_sha256,kernel_config_line_count,kernel_image_sha256,kernel_image_bytes,rootfs_img_sha256,rootfs_img_bytes,module_demo_sha256,module_demo_bytes,perf_manifest_present,config_diff_vs_baseline,image_hash_vs_baseline,rootfs_hash_vs_baseline,pass_status
baseline,day17-baseline-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day17/records/20260314-230319-day17-baseline-arm64-virt,v4,2019,34621,8128,2,1,1001592,951424,920624,11172,5980,5192,744,136,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,43dcf7cc305db3d48f5e28ea8964ba3aceb2a830a861dd6763c352dcff5d8ffb,7700,8c93bf0ad4e94116998d02ffff6c948e35ad92e092d47f25c9656abfb8fc86c7,35451392,762af295b838c258566c659a57a1ebe77dea3f3a6f17f737bdf5dd81baa3e02c,8322587,16143d90497ba7e03fb7acf114b6c233be921831a2c7cdcabb8a99618cae2f32,105472,yes,same,same,same,PASS
round1,day17-round1-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day17/records/20260314-230748-day17-round1-arm64-virt,v4,3028,33539,8128,2,1,1002484,952800,921996,10988,5972,5016,728,136,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,73062367c0e14443b5ba69ed2b27a90000aedcb921e1eed3906d27fae9b91a36,7128,7152291dab255bf4b67881bce20afb7f8d350eef1224bc4cb7deda7e92d1afa2,34343424,ba64949ac6779661d957c32540d6e0b22eafe1671bdf4bb7e5ad16498f7ec5c3,8322650,16143d90497ba7e03fb7acf114b6c233be921831a2c7cdcabb8a99618cae2f32,105472,yes,different,different,different,PASS
round2b,day17-round2b-arm64-virt,/home/wq7/workspace/driver-lab/linux-driver-lab/day17/records/20260314-231128-day17-round2b-arm64-virt,v4,2018,27417,8128,2,1,1007600,962060,930260,8180,3984,4196,600,136,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,5.15.10,22533047ca91fb26a0c683a68a22bb75faeb72a31e1304fdbc23ea574bfca8c7,6070,a329914c431548dea204bdbb208bda8af86a4603c3618ae2dcc019db3dc81f35,28074496,7e7315b6683e439d30ae5e9078e15ed33b84614f6db192b45bfd7ad09a72175b,8323039,16143d90497ba7e03fb7acf114b6c233be921831a2c7cdcabb8a99618cae2f32,105472,yes,different,different,different,PASS
